transaction_id,customer_key,item_key,payment_method_key,location_key,category_key,quantity,total_spent,transaction_date_iso,discount_applied
TXN_6867343,9,176,3,2,8,10,185.0,2024-04-08,True
TXN_3731986,22,158,3,2,7,9,261.0,2023-07-23,True
TXN_9303719,2,28,2,2,2,2,43.0,2022-10-05,False
TXN_9458126,6,7,2,2,1,9,247.5,2022-05-07,
TXN_4575373,5,122,3,2,5,7,87.5,2022-10-02,False
TXN_7482416,9,177,2,2,8,10,200.0,2023-11-30,
TXN_3652209,7,111,2,1,5,8,40.0,2023-06-10,True
TXN_1372952,21,137,3,1,6,6,201.0,2024-04-02,True
TXN_9728486,23,132,2,1,6,1,27.5,2023-04-26,False
TXN_2722661,25,39,1,2,2,3,109.5,2024-03-14,False
TXN_8776416,22,44,1,1,2,9,72.0,2024-12-14,True
TXN_5422631,9,168,3,1,7,8,52.0,2025-01-12,True
TXN_5874772,23,118,1,2,5,7,45.5,2023-09-09,True
TXN_4413070,14,191,3,1,8,6,237.0,2022-05-20,False
TXN_2490363,9,157,3,2,7,2,55.0,2022-05-22,
TXN_1809665,14,5,2,1,1,2,49.0,2022-05-11,
TXN_7563311,23,183,1,2,8,8,232.0,2024-11-16,True
TXN_9634894,15,157,3,2,7,10,275.0,2022-04-17,
TXN_4396807,17,79,3,1,4,1,23.0,2022-02-07,False
TXN_4206593,1,138,3,2,6,8,280.0,2025-01-13,False
TXN_9939063,14,23,3,1,1,9,126.0,2024-01-14,
TXN_8685338,15,163,2,1,7,3,105.0,2023-10-29,
TXN_6547964,10,95,1,1,4,7,66.5,2022-08-15,
TXN_3314099,4,101,1,2,5,1,18.5,2023-09-30,False
TXN_9980736,13,130,1,2,6,2,49.0,2023-08-29,False
TXN_3481599,5,141,1,2,6,3,118.5,2022-09-08,False
TXN_9057609,18,37,2,1,2,4,134.0,2022-03-16,True
TXN_1599706,14,142,2,1,6,10,410.0,2024-03-24,True
TXN_1598860,8,105,1,1,5,10,245.0,2022-10-23,True
TXN_7138501,18,189,2,1,8,5,182.5,2022-03-10,False
TXN_5444504,5,102,3,2,5,10,200.0,2022-04-26,False
TXN_4353295,22,197,2,2,8,8,100.0,2022-04-05,True
TXN_1543244,20,105,2,2,5,8,196.0,2024-10-25,True
TXN_1494700,12,88,2,1,4,9,315.0,2024-03-07,
TXN_1621497,6,179,1,1,8,4,92.0,2023-02-18,
TXN_6398436,15,17,2,1,1,7,287.0,2024-06-03,True
TXN_9065245,2,115,3,1,5,2,76.0,2024-03-10,False
TXN_6963438,11,126,2,2,6,5,92.5,2024-04-23,True
TXN_8312797,14,2,3,2,1,5,100.0,2022-06-03,
TXN_5836005,19,40,2,1,2,5,190.0,2024-10-19,False
TXN_4223250,16,14,1,2,1,7,255.5,2023-05-31,True
TXN_1019817,16,76,1,2,4,5,92.5,2022-08-01,
TXN_1110407,25,41,3,1,2,7,276.5,2022-10-21,
TXN_6276518,24,24,1,1,1,3,46.5,2024-04-08,
TXN_4740738,25,119,3,1,5,1,8.0,2022-04-19,
TXN_9587232,20,103,3,2,5,5,107.5,2023-02-28,True
TXN_6404316,4,57,2,2,3,6,165.0,2022-04-06,False
TXN_9331642,12,177,2,2,8,4,80.0,2022-07-06,True
TXN_9729422,13,32,2,2,2,6,165.0,2024-12-31,True
TXN_8425168,25,157,1,1,7,7,192.5,2022-03-12,
TXN_5379241,5,37,2,1,2,10,335.0,2023-04-12,False
TXN_8413369,23,71,2,2,3,6,66.0,2024-03-09,True
TXN_4836321,21,103,3,1,5,10,215.0,2023-01-14,False
TXN_9451794,24,160,2,2,7,3,96.0,2024-01-28,
TXN_8218431,1,140,3,2,6,5,190.0,2023-04-29,False
TXN_2383377,15,148,3,1,6,3,42.0,2023-04-02,
TXN_7909783,12,71,2,2,3,1,11.0,2023-12-17,True
TXN_5046007,7,56,1,2,3,9,234.0,2024-07-22,True
TXN_6966182,2,132,1,2,6,9,247.5,2024-09-06,
TXN_3424571,9,172,2,2,7,7,87.5,2023-01-13,False
TXN_6820452,10,66,2,1,3,8,316.0,2023-04-18,False
TXN_1998771,25,157,3,2,7,3,82.5,2024-11-07,True
TXN_1132097,24,177,2,1,8,9,180.0,2023-05-18,True
TXN_5418871,4,64,1,1,3,7,255.5,2022-03-16,False
TXN_6952276,1,114,2,2,5,10,365.0,2024-08-02,True
TXN_6340470,17,43,2,1,2,6,39.0,2022-10-12,
TXN_5885894,1,180,2,1,8,10,245.0,2022-02-09,False
TXN_3671271,18,178,1,1,8,8,172.0,2023-11-27,False
TXN_2719047,3,37,2,2,2,4,134.0,2023-11-21,
TXN_9908330,19,109,2,2,5,4,122.0,2022-09-29,True
TXN_2016332,17,186,3,2,8,6,30.0,2022-12-17,True
TXN_7363165,25,20,3,1,1,7,66.5,2023-03-25,
TXN_1260450,25,139,3,1,6,10,365.0,2023-12-24,True
TXN_6315447,21,198,3,1,8,9,126.0,2025-01-12,False
TXN_5973228,12,23,3,2,1,6,84.0,2023-12-25,True
TXN_2780662,2,160,3,1,7,10,320.0,2023-01-19,
TXN_1142481,2,14,1,1,1,6,219.0,2023-02-07,True
TXN_3933685,9,62,2,2,3,10,335.0,2022-04-15,
TXN_8955685,24,112,3,2,5,2,67.0,2023-04-24,
TXN_1061030,20,64,3,2,3,4,146.0,2024-07-14,True
TXN_7821493,7,183,2,1,8,10,290.0,2024-12-17,
TXN_8114453,10,88,3,1,4,2,70.0,2023-05-09,False
TXN_8024803,9,127,3,1,6,8,160.0,2024-08-22,False
TXN_4532214,25,199,2,1,8,4,62.0,2024-03-25,False
TXN_5062634,4,192,2,2,8,2,82.0,2023-07-06,True
TXN_8244728,8,123,2,1,5,1,14.0,2024-04-27,
TXN_3858145,17,138,3,2,6,3,105.0,2023-04-01,
TXN_2646301,18,141,2,1,6,9,355.5,2022-12-07,False
TXN_2414530,24,174,1,2,7,8,124.0,2024-06-20,
TXN_8322008,22,120,1,1,5,3,28.5,2024-08-20,False
TXN_3035546,19,5,2,1,1,2,49.0,2023-07-12,True
TXN_7296720,18,195,1,2,8,5,47.5,2024-09-12,
TXN_8414071,20,178,1,1,8,9,193.5,2023-05-02,True
TXN_5705131,19,170,3,2,7,4,38.0,2024-03-27,True
TXN_5938028,18,73,3,2,3,1,14.0,2023-02-20,True
TXN_1958345,8,95,1,1,4,8,76.0,2024-06-28,
TXN_1528585,15,97,2,1,4,1,12.5,2024-09-17,
TXN_9619859,1,38,1,1,2,4,140.0,2024-04-05,False
TXN_6158929,21,102,1,2,5,6,120.0,2022-01-29,True
TXN_7209607,25,109,2,1,5,6,183.0,2023-08-25,
TXN_5328604,7,112,1,2,5,10,335.0,2024-07-08,False
