transaction_id,status,time,date,card_type,city,amount,amount_raw
TXN_00001,success,23:17:00,2025-09-08,Discover,Tehran,5000.0,-5000
TXN_00002,failed,,,MasterCard,Karaj,63489.0,63489
TXN_00003,success,07:32:00,2025-09-20,Visa,Isfahan,1502601.0,1502601
TXN_00004,failed,,,Discover,Qom,,9999999999
TXN_00005,success,22:27:00,2025-09-11,Amex,Mashhad,452545.0,452545
TXN_00006,success,02:24:00,2025-09-04,MasterCard,Tehran,,9999999999
TXN_00007,failed,17:07:00,2025-09-30,Discover,Shiraz,1158713.0,1158713
TXN_00008,failed,18:12:00,2025-09-23,Visa,Tehran,1387769.0,1387769
TXN_00009,failed,02:54:00,2025-09-08,Visa,Qom,583952.0,583952
TXN_00010,failed,05:23:00,2025-09-12,MasterCard,Tabriz,1472823.0,1472823
TXN_00011,failed,19:40:00,2025-09-06,Visa,Tehran,343679.0,343679
TXN_00012,failed,08:59:00,2025-09-21,MasterCard,Karaj,1768588.0,1768588
TXN_00013,success,01:51:00,2025-09-11,Visa,Mashhad,443463.0,443463
TXN_00014,failed,,,,Qom,100.5,100.50
TXN_00015,failed,04:15:00,2025-09-24,Amex,Qom,1883871.0,1883871
TXN_00016,failed,,,Amex,Ahvaz,5000.0,-5000
TXN_00017,success,04:40:00,2025-09-06,MasterCard,Tehran,5000.0,-5000
TXN_00018,failed,19:29:00,2025-09-17,Amex,Tehran,1427657.0,1427657
TXN_00019,success,,,MasterCard,Mashhad,100.0,one hundred
TXN_00020,failed,13:10:00,2025-09-15,Visa,Tabriz,1050805.0,1050805
TXN_00021,failed,,,,Mashhad,999999.0,-999999
TXN_00022,failed,,,Visa,Tehran,0.0,0
TXN_00023,success,12:44:00,2025-09-28,Visa,Isfahan,412308.0,412308
TXN_00024,success,05:56:00,2025-09-02,MasterCard,Tabriz,545116.0,545116
TXN_00025,failed,14:02:00,2025-09-05,Visa,Tehran,0.0,0
TXN_00026,success,20:33:00,2025-09-01,Amex,Isfahan,774681.0,774681
TXN_00027,failed,00:00:00,2025-09-10,Visa,Tehran,1.0,1
TXN_00028,success,11:11:00,2025-09-09,Discover,Ahvaz,99999.0,99999
TXN_00029,failed,,,MasterCard,Tehran,100.5,100.50
TXN_00030,failed,03:00:00,2025-09-11,Visa,Tehran,0.0,0
TXN_00031,success,09:45:00,2025-09-13,Visa,Shiraz,205000.0,205000
TXN_00032,success,21:21:00,2025-09-07,Visa,Isfahan,5000.0,5000
TXN_00033,success,15:00:00,2025-09-11,Discover,Tehran,585954.0,585954
TXN_00034,failed,,,MasterCard,Tabriz,177050.0,177050
TXN_00035,success,14:55:00,2025-09-20,Amex,Isfahan,250000.0,250000
TXN_00036,failed,06:30:00,2025-09-18,MasterCard,Karaj,1.0,-1
TXN_00037,success,02:37:00,2025-09-23,MasterCard,Shiraz,1463119.0,1463119
TXN_00038,failed,08:08:00,2025-09-08,Amex,,0.0,0
TXN_00039,success,07:07:00,2025-09-04,MasterCard,Tehran,100000.0,100000
TXN_00040,failed,12:12:00,2025-09-02,Visa,Tehran,343679.0,343679
TXN_00041,failed,18:45:00,2025-09-19,Visa,Tabriz,200000.0,200000
TXN_00042,success,23:59:00,2025-09-30,Discover,Mashhad,850000.0,850000
TXN_00043,failed,,,Visa,Karaj,999999.0,-999999
TXN_00044,success,10:05:00,2025-09-11,Visa,Karaj,471227.0,471227
TXN_00045,failed,,,MasterCard,Isfahan,12345.0,12345
TXN_00046,success,16:16:00,2025-09-16,Visa,Shiraz,976246.0,976246
TXN_00047,failed,,,MasterCard,Tabriz,5000.0,-5000
TXN_00048,failed,14:00:00,2025-09-06,Visa,Tabriz,1578078.0,1578078
TXN_00049,success,,,MasterCard,Tehran,419089.0,419089
TXN_00050,failed,21:23:00,2025-09-03,Amex,Tehran,1782689.0,1782689
